# 模型清单速查（与 docs/01-技术方案与模型清单.md §5 同步）
# 格式: [状态] 名称 | 用途 | 获取 | 显存 | 许可/商用

[必需] stable-diffusion-v1-5            | img2img Q版化           | HF: stable-diffusion-v1-5/stable-diffusion-v1-5 + worker 自动下载 | ~4G(fp16) | OpenRAIL-M 可商用+守限制
[必需] stable-diffusion-v1-5-inpainting | 补发生成                | HF: 同名 repo（脚本 download_models.sh §3）               | ~4G(fp16) | 同上
[推荐] h94/IP-Adapter (sd15)            | 保身份                  | HF（自动下载）                                            | +1G       | Apache-2.0 可商用
[推荐] Q版像素 LoRA .safetensors        | 风格增强                | Civitai(逐项核许可) 或自训(training/)                     | 共享      | ⚠️取决于来源
[轻量] AnimeGANv2 onnx                  | 无 SD 时风格迁移        | github TachibanaYoshino/AnimeGANv2 onnx                   | <1G       | MIT 可商用
[推荐] U²-Net human parsing onnx        | 发区/人体分割           | 见 download_models.sh §2（可选，缺失走启发式）            | <1G       | Apache-2.0 可商用
[内置] MediaPipe FaceMesh/Pose/SelfieSeg| 关键点+人像分割         | pip mediapipe 自带权重                                    | CPU       | Apache-2.0 可商用
[备选] RTMPose(mmpose)                  | 更稳人体关键点          | OpenMMLab 模型库                                          | 0.5G      | Apache-2.0 可商用
[备选] GFPGAN v1.4                      | 最终面部精修            | GitHub TencentARC                                         | 1.5G      | Apache-2.0 可商用
[禁用] CodeFormer / InsightFace 模型 / SCHP | —                   | —                                                         | —         | ⚠️非商用许可，本工程不采用
